,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Port Blair,IN,77.04,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
517,Tsumeb,,81.16,clear sky,-19.2333,17.7167,TeaterHuis Guest House
519,South Venice,US,87.78,haze,27.0531,-82.4243,"Island Sun Inn & Suites - Venice, Florida Historic Downtown & Beach Getaway"
520,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
521,Cockburn Town,TC,83.68,clear sky,21.4612,-71.1419,Osprey Beach Hotel
525,Dingle,PH,76.44,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
530,Payson,US,89.4,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
533,Mao,ES,81.16,few clouds,39.8885,4.2658,ARTIEM Capri
537,Ojinaga,MX,87.57,clear sky,29.5667,-104.4167,Suites Las Palmas
541,Kismayo,SO,75.63,scattered clouds,-0.3582,42.5454,Agan-Hotel
549,Sur,OM,81.73,clear sky,22.5667,59.5289,Sur Plaza Hotel
553,Broome,US,76.86,overcast clouds,42.2506,-75.833,Chenango Valley State Park
554,Vengurla,IN,77.13,light rain,15.8667,73.6333,Golven Resort
559,Mizdah,LY,87.57,few clouds,31.4451,12.9801,محمدالمبروك الاريقط
560,Manokwari,ID,78.04,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
562,Carai,BR,76.44,broken clouds,-17.1889,-41.6947,Pousada Caraíba
567,Bathsheba,BB,88.41,few clouds,13.2167,-59.5167,Atlantis Hotel
568,Puerto Del Rosario,ES,76.75,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
569,Samarai,PG,80.28,broken clouds,-10.6167,150.6667,Nuli Sapi
570,Roma,US,80.96,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
572,Waddan,LY,86.58,clear sky,29.1614,16.139,محل الشريف محمد العايب
575,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
578,Arroio Grande,BR,77.34,broken clouds,-32.2375,-53.0869,Motel Bela Vista
580,Totness,SR,86.52,few clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
583,Taylorville,US,80.87,scattered clouds,39.5489,-89.2945,Economy Inn
584,San Cristobal,VE,86.18,broken clouds,7.7669,-72.225,Pirineos
588,Ashland,US,78.22,clear sky,40.8167,-82.2665,SureStay
590,Nizwa,OM,83.64,scattered clouds,22.9333,57.5333,Orient Apartments
595,Shache,CN,75.81,clear sky,38.4167,77.2406,Delong Hotel
596,Takoradi,GH,76.48,scattered clouds,4.8845,-1.7554,Raybow International Hotel
602,Dera Bugti,PK,88.02,clear sky,29.0307,69.151,Nawab Bugti House
603,Carbondale,US,82.06,scattered clouds,37.7273,-89.2168,Best Western Saluki Inn
604,Rehoboth,,75.88,clear sky,-23.3167,17.0833,Noble Luminous Accommodation
607,Moron,AR,75.94,light rain,-34.6534,-58.6198,Hotel Morón
610,Wichita,US,88.56,clear sky,37.6922,-97.3375,Courtyard by Marriott Wichita at Old Town
617,Kongolo,CD,86.2,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
619,Morgan City,US,84.0,broken clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
620,Korla,CN,79.79,clear sky,41.7597,86.1469,Gulisitan Hotel
622,Filadelfia,US,80.56,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
623,Bubaque,GW,80.69,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
626,Opuwo,,81.16,clear sky,-18.0607,13.84,ABBA Guesthouse
631,Manadhoo,MV,80.69,overcast clouds,5.7667,73.3833,Bon Abri maldives
632,Sakaiminato,JP,76.98,broken clouds,35.55,133.2333,Italian pasley
641,Mogadishu,SO,76.24,broken clouds,2.0371,45.3438,Hotel Juba
642,Kanniyakumari,IN,79.0,overcast clouds,8.0833,77.5667,Sparsa Kanyakumari
644,Palafrugell,ES,77.36,overcast clouds,41.9174,3.1631,Hotel La Torre
645,Ca Mau,VN,77.11,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
648,Tautira,PF,76.98,light rain,-17.7333,-149.15,Pension Oaoa
651,Lucapa,AO,81.07,scattered clouds,-8.4192,20.7447,Lírio Mendes
655,Urumqi,CN,83.35,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
656,Westport,US,79.92,clear sky,41.1415,-73.3579,The Westport Inn
660,Altar,MX,87.42,overcast clouds,30.7,-111.8167,Hotel Maria Elena
661,Beruwala,LK,77.92,light rain,6.4788,79.9828,The Palms Hotel
662,Lazaro Cardenas,MX,84.24,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
666,Gujrat,PK,87.76,clear sky,32.5728,74.079,Aziz Butt
672,Ibra,OM,81.75,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
673,Romitan,UZ,75.15,clear sky,39.9343,64.3814,Hotel Temur
676,Basmat,IN,76.71,overcast clouds,19.3167,77.1667,Lakshmi-Narayan
677,Mayo,US,80.55,few clouds,38.8876,-76.5119,Resorts Resource Group International
678,Bontang,ID,80.17,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
680,Bougouni,ML,79.34,overcast clouds,11.417,-7.479,Non Stop
681,Kulhudhuffushi,MV,80.51,overcast clouds,6.6221,73.07,Haajy Guest House 1
683,Paulo Afonso,BR,80.8,broken clouds,-9.4061,-38.2147,Pousada Ilha Bela
685,Martapura,ID,75.29,broken clouds,-3.4167,114.85,Montana Hotel Syariah
686,Hami,CN,80.49,clear sky,42.8,93.45,Laoyutang Resort
689,Sidi Ali,DZ,78.01,broken clouds,36.0998,0.4206,Khaled
692,Kathu,TH,85.69,overcast clouds,7.9178,98.3332,Novotel Phuket Resort
693,Rosamorada,MX,87.62,overcast clouds,22.1222,-105.2058,Hotel Gonzalez
694,Bosaso,SO,89.89,clear sky,11.2842,49.1816,Red Sea Hotel
695,Columbus,US,80.87,scattered clouds,39.9612,-82.9988,DoubleTree Suites by Hilton Hotel Columbus Downtown
696,Umm Lajj,SA,85.57,clear sky,25.0213,37.2685,Moon light Furnished Units
697,Napoleon,US,79.38,clear sky,41.3923,-84.1252,Holiday Inn & Suites
