,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Capinopolis,BR,84.45,clear sky,-18.6819,-49.5697,Tropical Hotel Capinópolis
303,Numan,NG,75.24,broken clouds,9.4667,12.0333,Zangun Motel
304,Kahului,US,86.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
311,Guerrero Negro,MX,83.97,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
314,Guatire,VE,83.19,overcast clouds,10.4762,-66.5427,Parque Residencial Canaima I
317,Najran,SA,80.26,clear sky,17.4924,44.1277,محمد هادي ال فطيح
320,Tete,MZ,75.78,broken clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
324,Cabo San Lucas,MX,81.05,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
329,Olutanga,PH,81.46,heavy intensity rain,7.3106,122.8464,Morales Lodge
333,Ambunti,PG,75.29,broken clouds,-4.2365,142.8448,AMBUNTI HIDE INN
335,Itarema,BR,77.77,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
336,Batticaloa,LK,80.08,overcast clouds,7.7102,81.6924,Grand Star Guest House
341,Bathsheba,BB,83.3,overcast clouds,13.2167,-59.5167,Atlantis Hotel
342,Thinadhoo,MV,83.25,overcast clouds,0.5333,72.9333,
343,Salalah,OM,76.35,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
344,Camocim,BR,79.09,clear sky,-2.9022,-40.8411,Ilha Praia Hotel
347,Fukue,JP,76.48,overcast clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
348,Korla,CN,76.57,clear sky,41.7597,86.1469,Gulisitan Hotel
351,Mankato,US,85.95,clear sky,44.1636,-93.9994,Hilton Garden Inn Mankato Downtown
354,Centerville,US,78.6,few clouds,39.6284,-84.1594,"Country Inn & Suites by Radisson, Dayton South, OH"
355,Samarai,PG,80.58,few clouds,-10.6167,150.6667,Nuli Sapi
356,Carupano,VE,77.32,overcast clouds,10.6678,-63.2585,Hotel La dorada
361,San Policarpo,PH,80.4,overcast clouds,12.1791,125.5072,Agapita M. Nicart
362,Lively,CA,79.02,clear sky,46.4334,-81.1498,Village Inn Motel
364,Wewak,PG,81.95,overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
367,Ponta Do Sol,PT,75.7,clear sky,32.6667,-17.1,Hotel do Campo
377,Maumere,ID,76.66,broken clouds,-8.6199,122.2111,Sylvia Hotel
388,Sur,OM,79.48,clear sky,22.5667,59.5289,Sur Plaza Hotel
389,Acarau,BR,77.94,clear sky,-2.8856,-40.12,castelo pizzaria
390,Kankon,IN,76.8,overcast clouds,15.0167,74.0167,Palolem Beach Resort
392,Ugoofaaru,MV,80.83,overcast clouds,5.6667,73.0,Ungoofaaru Inn
393,Baghdad,IQ,84.11,clear sky,33.3406,44.4009,Baghdad Hotel
397,Kavieng,PG,83.44,broken clouds,-2.5744,150.7967,Nusa Island Retreat
399,Barra Do Garcas,BR,86.45,few clouds,-15.89,-52.2567,Pousada Tropical
403,Hambantota,LK,75.54,scattered clouds,6.1241,81.1185,Bungalow 63
404,Ishigaki,JP,80.82,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
407,Saint-Georges,GD,81.32,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
413,Sinnamary,GF,80.17,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
416,Sakakah,SA,86.83,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
425,Clayton,US,87.48,scattered clouds,33.5335,-84.3666,Royal Inn
426,Tambopata,PE,87.69,clear sky,-12.7333,-69.1833,Enashawa Lodge
427,Pulsano,IT,76.82,clear sky,40.3821,17.3564,Gabbiano Hotel
428,Monrovia,LR,75.92,light rain,6.3005,-10.7969,Sunset Inn
434,Zorgo,BF,78.12,moderate rain,12.2489,-0.6158,Hôtel Pang Ya Wendé
435,Port Alberni,CA,78.89,clear sky,49.2413,-124.8028,Somass Motel & RV
436,Nioro,GM,77.77,light rain,13.35,-15.75,
440,Jalu,LY,77.86,clear sky,29.0331,21.5482,صاحبة الفخامة
442,Lorengau,PG,82.35,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
443,Fengkou,CN,80.78,overcast clouds,30.0833,113.2667,君悦大酒店
445,Owen Sound,CA,75.88,clear sky,44.5672,-80.9435,Comfort Inn
449,Palembang,ID,77.09,mist,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
453,Esna,EG,84.94,clear sky,25.2934,32.554,Orient Star Dahabyia Isna 05 Nights Each Sunday
455,Pasighat,IN,76.57,heavy intensity rain,28.0667,95.3333,Siang Guest House
461,Kieta,PG,81.34,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
463,Nizwa,OM,76.55,clear sky,22.9333,57.5333,Orient Apartments
467,Honiara,SB,83.07,scattered clouds,-9.4333,159.95,Heritage Park Hotel
469,Amahai,ID,76.44,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
473,Gimli,CA,80.82,clear sky,50.6336,-96.9907,Lakeview Gimli Resort
479,San Cristobal,VE,82.58,scattered clouds,7.7669,-72.225,Pirineos
491,Fare,PF,78.08,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
493,Alhama De Murcia,ES,86.32,overcast clouds,37.851,-1.4251,Hotel Los Bartolos - Inicio Reservas
505,Mormugao,IN,76.26,broken clouds,15.4,73.8,Coconut Creek Resort
514,Manokwari,ID,78.87,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
516,Oistins,BB,82.33,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
522,Saint Anthony,US,89.35,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
529,Bagh,IN,79.59,overcast clouds,22.3667,74.7667,Guddu Khan
533,Koupela,BF,78.24,light rain,12.1794,-0.3517,AUBERGE MAQUIS RESTO CAFE LE ROUTIER PLUS
536,Mecca,SA,86.7,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
548,Tautira,PF,76.53,light rain,-17.7333,-149.15,Pension Oaoa
550,Lucea,JM,88.86,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
553,Juazeiro,BR,84.38,clear sky,-9.4117,-40.4986,JB Hotel
557,Alappuzha,IN,77.0,light rain,9.49,76.3264,Panoramic Sea Resort
558,Hobyo,SO,75.43,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
560,Vaitape,PF,78.24,clear sky,-16.5167,-151.75,Conrad Bora Bora Nui
561,Hayden,US,88.36,clear sky,47.766,-116.7866,Triple Play Resort Hotel & Suites
562,Abu Samrah,SY,75.87,clear sky,35.3029,37.1841,
563,Grand Haven,US,81.37,scattered clouds,43.0631,-86.2284,"Holiday Inn Grand Haven-Spring Lake, an IHG Hotel"
564,Santa Cruz,BO,84.25,smoke,-17.8,-63.1667,Aviador Hotel Boutique
567,Cayenne,GF,82.44,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
568,Anamur,TR,77.04,clear sky,36.0751,32.8369,Luna Piena Beach Hotel
570,Kasongo,CD,75.42,broken clouds,-4.45,26.6667,Guest Hôtel
574,Changji,CN,81.39,clear sky,44.0167,87.3167,Lvye Holiday Resort
575,Weligama,LK,76.87,overcast clouds,5.9667,80.4167,Weligama Bay Resort
576,Magdalena,PH,79.36,scattered clouds,14.1999,121.429,Samparada & Gestiada Residences
578,Tagusao,PH,78.69,scattered clouds,9.1924,117.8141,Caycay future beach resort
579,Sudbury,CA,79.05,clear sky,46.49,-80.99,Travelway Inn Sudbury
584,Wagar,SD,89.6,overcast clouds,16.1525,36.2032,
586,Gushikawa,JP,79.83,clear sky,26.3544,127.8686,Kirari Guest House
587,Aitape,PG,80.29,broken clouds,-3.1374,142.3475,
589,Gat,IL,77.81,clear sky,31.61,34.7642,OlusHome
593,The Valley,AI,86.09,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
594,Vanimo,PG,79.63,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
595,Umm Lajj,SA,85.46,clear sky,25.0213,37.2685,Moon light Furnished Units
601,Dingle,PH,75.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
602,Barinas,VE,84.15,scattered clouds,8.6226,-70.2075,Hotel Mastranto Suite
603,Phillaur,IN,76.66,clear sky,31.0292,75.7842,Prithvi Resorts
605,Zhuhai,CN,83.86,scattered clouds,22.2769,113.5678,珠海粤财假日酒店
606,Portoferraio,IT,81.97,clear sky,42.8115,10.3146,Hotel Villa Ombrosa
612,Port Keats,AU,75.11,scattered clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
615,Ouargaye,BF,77.63,light rain,11.5033,0.0572,Résidence le Cotonnier
618,Barreirinha,BR,88.79,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
622,Manglaur,IN,78.75,clear sky,29.8,77.8667,Hotel Godawari
626,Bolivar,US,83.95,clear sky,37.6145,-93.4105,Comfort Inn Bolivar
629,Presidencia Roque Saenz Pena,AR,78.66,scattered clouds,-26.7852,-60.4388,Hotel Gualok
630,Da Nang,VN,76.98,broken clouds,16.0678,108.2208,Grand Mercure Danang
635,Shelburne,CA,75.24,clear sky,44.0787,-80.2041,The Retreat at the Farm
638,Trairi,BR,77.85,clear sky,-3.2778,-39.2689,janelas do mar
639,Champerico,GT,88.34,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
640,Padang,ID,76.69,overcast clouds,-0.9492,100.3543,Mercure Padang
644,Awbari,LY,82.96,clear sky,26.5921,12.7805,فندق أوباري
646,La Rinconada,ES,78.98,clear sky,37.4873,-5.9826,Hotel Torre del Oro
648,San Juan,AR,80.64,clear sky,-31.5375,-68.5364,Hotel Provincial
651,Port Blair,IN,75.24,moderate rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
663,Tura,IN,75.61,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
665,Rudbar,AF,83.08,clear sky,30.15,62.6,
669,Mindif,CM,77.49,overcast clouds,10.3976,14.4363,
670,Teknaf,BD,79.92,light rain,20.8624,92.3058,Forestry Guesthouse
671,Tambacounda,SN,79.43,scattered clouds,13.7539,-13.7586,
672,Makakilo City,US,86.32,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
675,Hirara,JP,77.27,few clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
676,Mogadishu,SO,75.45,few clouds,2.0371,45.3438,Hotel Juba
678,Wanning,CN,79.14,heavy intensity rain,18.8003,110.3967,Paradise Hotel
681,Humen,CN,83.12,overcast clouds,22.819,113.6731,豪门大饭店
682,Popondetta,PG,82.35,few clouds,-8.7537,148.2534,Timos Transit House
687,Bandiagara,ML,78.33,few clouds,14.3501,-3.6104,Hotel de la Falaise
688,Namatanai,PG,82.17,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
696,Pathein,MM,76.21,overcast clouds,16.7833,94.7333,Pathein Hotel
701,Cochrane,CA,79.9,scattered clouds,51.1834,-114.4687,Days Inn & Suites by Wyndham Cochrane
702,Tena,EC,78.96,overcast clouds,-0.9833,-77.8167,Hostal Tena Ñaui
704,Pombas,CV,78.58,broken clouds,17.1503,-25.0201,Paul Paradis
707,Contai,IN,82.47,light rain,21.7786,87.7536,PATHFINDER
708,Manthani,IN,77.9,overcast clouds,18.65,79.6667,"Sri Sai bike Paint,manthani"
709,Griffith,US,81.12,clear sky,41.5284,-87.4237,Apartment above Depot Bar
710,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
711,Naspur,IN,78.37,overcast clouds,18.8333,79.45,Hotel Vaibhav
712,Samana,DO,84.16,broken clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
719,Hastinapur,IN,80.69,clear sky,29.1667,78.0167,OYO 88468 Y S Hotel & Restaurant
720,Caramay,PH,78.55,broken clouds,10.1815,119.236,Peace and Love Beach Club
727,Harper,LR,75.04,few clouds,4.375,-7.7169,Screensaver
728,Nabire,ID,77.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
