City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
79,Coquimbo,-29.9533,-71.3436,57.88,61,16,15.64,CL,few clouds
80,Kaniama,-7.5667,24.1833,80.51,25,62,0.83,CD,broken clouds
81,Maceio,-9.6658,-35.7353,80.04,61,40,10.36,BR,scattered clouds
82,San Patricio,28.017,-97.5169,92.17,48,0,5.59,US,clear sky
83,Hualmay,-11.0964,-77.6139,65.05,70,74,12.68,PE,broken clouds
84,Arraial Do Cabo,-22.9661,-42.0278,75.06,69,0,21.85,BR,clear sky
85,Severo-Kurilsk,50.6789,156.125,54.63,74,81,5.46,RU,broken clouds
86,Busselton,-33.65,115.3333,53.62,81,97,6.13,AU,overcast clouds
87,Rapar,23.5667,70.6333,90.75,55,49,5.99,IN,scattered clouds
88,Nikolskoye,59.7035,30.7861,48.09,88,69,1.5,RU,broken clouds
89,Shingu,33.7333,135.9833,76.78,92,93,7.25,JP,moderate rain
90,Airai,-8.9266,125.4092,57.52,42,26,2.01,TL,scattered clouds
91,Saint-Joseph,-21.3667,55.6167,68.38,72,14,8.7,RE,few clouds
92,Guerrero Negro,27.9769,-114.0611,81.23,74,100,50.35,MX,overcast clouds
93,Salta,-24.7859,-65.4117,97.39,5,0,17.27,AR,clear sky
94,Waihi,-37.3833,175.8333,45.52,93,11,2.51,NZ,few clouds
95,Touros,-5.1989,-35.4608,81.28,65,10,17.98,BR,clear sky
96,Marsh Harbour,26.5412,-77.0636,84.25,68,12,3.29,BS,few clouds
97,Mar Del Plata,-38.0023,-57.5575,53.1,84,100,8.01,AR,light rain
98,Isangel,-19.55,169.2667,73.94,90,41,7.14,VU,scattered clouds
99,Nhamunda,-2.1861,-56.7131,98.73,30,27,5.19,BR,scattered clouds
100,Komsomolskiy,40.4272,71.7189,75.92,41,0,4.61,UZ,clear sky
101,Cidreira,-30.1811,-50.2056,67.05,71,83,10.29,BR,broken clouds
102,Guadalupe Y Calvo,26.1,-106.9667,63.99,70,100,5.23,MX,overcast clouds
103,The Valley,18.217,-63.0578,83.07,75,100,7.63,AI,overcast clouds
104,Cherskiy,68.75,161.3,50.4,59,73,15.7,RU,broken clouds
105,Khatanga,71.9667,102.5,33.04,76,98,10.89,RU,overcast clouds
106,Sarh,9.1429,18.3923,75.02,90,86,1.63,TD,light rain
107,Brae,60.3964,-1.353,57.16,83,68,12.68,GB,broken clouds
108,Avarua,-21.2078,-159.775,73.45,73,20,8.05,CK,few clouds
109,Dunshaughlin,53.5125,-6.54,62.33,82,63,8.93,IE,broken clouds
110,Belmonte,-15.8631,-38.8828,75.22,63,100,8.79,BR,overcast clouds
111,Puerto Narino,-3.7703,-70.3831,92.59,44,36,1.79,CO,scattered clouds
