City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,Hobyo,5.3505,48.5268,76.01,82,36,26.53,SO,2022-09-05 17:31:47
162,Bilibino,68.0546,166.4372,32.83,95,99,4.0,RU,2022-09-05 17:31:48
163,Redmond,47.674,-122.1215,67.57,77,84,3.0,US,2022-09-05 17:30:43
164,Krasnoselkup,65.7,82.4667,42.39,92,100,13.04,RU,2022-09-05 17:31:48
165,Parczew,51.6402,22.9006,61.41,43,12,8.43,PL,2022-09-05 17:31:48
166,Wenatchee,47.4235,-120.3103,75.97,37,0,19.57,US,2022-09-05 17:29:06
167,Acapulco,16.8634,-99.8901,76.82,88,100,9.22,MX,2022-09-05 17:27:39
168,Zhangye,38.9342,100.4517,65.8,28,40,5.48,CN,2022-09-05 17:31:49
169,Huarmey,-10.0681,-78.1522,68.18,67,47,11.21,PE,2022-09-05 17:31:49
170,Clyde River,70.4692,-68.5914,37.63,93,100,13.8,CA,2022-09-05 17:31:49
171,Necochea,-38.5473,-58.7368,72.63,31,0,11.48,AR,2022-09-05 17:31:50
172,Bathsheba,13.2167,-59.5167,79.41,94,75,18.41,BB,2022-09-05 17:31:50
173,Sagua La Grande,22.8067,-80.0756,90.59,51,16,11.36,CU,2022-09-05 17:31:50
174,Margaritas,20.4538,-102.4739,82.38,45,76,5.7,MX,2022-09-05 17:31:50
175,Benjamin Constant,-4.3831,-70.0311,78.93,83,100,3.44,BR,2022-09-05 17:31:51
176,Rocha,-34.4833,-54.3333,66.78,46,0,6.02,UY,2022-09-05 17:31:51
177,Salekhard,66.53,66.6019,39.25,91,98,7.54,RU,2022-09-05 17:31:51
178,Bilma,18.6853,12.9164,99.27,15,4,5.48,NE,2022-09-05 17:31:51
179,Port Blair,11.6667,92.75,78.84,89,75,8.05,IN,2022-09-05 17:31:52
180,Chipinge,-20.1883,32.6236,63.73,42,0,5.99,ZW,2022-09-05 17:31:52
181,Velikiy Novgorod,58.5167,31.2833,44.1,82,70,6.08,RU,2022-09-05 17:32:52
182,Tiarei,-17.5333,-149.3333,73.42,75,6,16.53,PF,2022-09-05 17:32:53
183,Lakatoro,-16.0999,167.4164,76.87,85,92,5.03,VU,2022-09-05 17:32:53
184,Karratha,-20.7377,116.8463,67.55,45,0,12.73,AU,2022-09-05 17:32:53
185,Paciran,-6.8767,112.3761,78.51,82,91,6.17,ID,2022-09-05 17:32:53
186,Vinukonda,16.05,79.75,84.2,72,37,4.54,IN,2022-09-05 17:32:54
187,Acarau,-2.8856,-40.12,85.55,60,23,22.37,BR,2022-09-05 17:31:08
188,Irtyshskiy,58.3333,68.1333,43.48,78,90,4.85,RU,2022-09-05 17:32:54
189,Kavieng,-2.5744,150.7967,80.94,71,21,12.73,PG,2022-09-05 17:32:54
190,Vao,-22.6667,167.4833,67.57,63,100,15.46,NC,2022-09-05 17:32:55
191,Myrtle Beach,33.6891,-78.8867,89.28,75,20,10.36,US,2022-09-05 17:31:12
192,Salamiyah,35.0113,37.0532,77.67,50,0,10.27,SY,2022-09-05 17:32:55
193,Fairbanks,64.8378,-147.7164,50.09,87,100,1.99,US,2022-09-05 17:32:01
194,Harper,4.375,-7.7169,76.78,86,54,10.45,LR,2022-09-05 17:32:55
195,Qasigiannguit,68.8193,-51.1922,44.85,96,100,10.31,GL,2022-09-05 17:32:55
196,Chicama,-7.8447,-79.1469,63.14,55,37,9.06,PE,2022-09-05 17:32:56
197,Sao Joao Da Barra,-21.6403,-41.0511,73.49,62,100,9.6,BR,2022-09-05 17:32:56
198,Noumea,-22.2763,166.4572,62.58,69,100,7.85,NC,2022-09-05 17:30:42
199,Inongo,-1.95,18.2667,73.38,76,39,2.26,CD,2022-09-05 17:32:56
200,Shubarshi,48.5872,57.1869,65.32,48,98,17.83,KZ,2022-09-05 17:32:57
201,Waitati,-45.75,170.5667,36.81,74,55,5.93,NZ,2022-09-05 17:32:57
202,Caravelas,-17.7125,-39.2481,73.08,77,84,12.66,BR,2022-09-05 17:32:57
203,Kahului,20.8947,-156.47,79.84,73,20,10.36,US,2022-09-05 17:32:57
204,Hefei,31.8639,117.2808,73.42,83,0,4.47,CN,2022-09-05 17:32:58
205,Walvis Bay,-22.9575,14.5053,65.35,55,0,10.36,NA,2022-09-05 17:32:58
206,Arraial Do Cabo,-22.9661,-42.0278,71.46,60,75,11.5,BR,2022-09-05 17:31:45
207,Laredo,27.5064,-99.5075,82.69,78,40,3.44,US,2022-09-05 17:31:14
208,Bambous Virieux,-20.3428,57.7575,70.05,83,40,12.66,MU,2022-09-05 17:32:58
209,Jaguaruna,-28.615,-49.0256,66.36,68,41,11.81,BR,2022-09-05 17:32:58
210,Lokoja,7.8024,6.743,78.26,83,43,4.56,NG,2022-09-05 17:32:28
211,Vitim,59.4511,112.5578,46.71,82,100,8.7,RU,2022-09-05 17:32:59
212,Pisco,-13.7,-76.2167,64.02,88,100,8.05,PE,2022-09-05 17:30:57
213,Podbrdo,44.4408,17.0139,58.64,81,86,1.12,BA,2022-09-05 17:32:59
214,Vestmannaeyjar,63.4427,-20.2734,58.19,77,0,9.22,IS,2022-09-05 17:32:59
215,Asosa,10.0667,34.5333,60.24,95,100,3.67,ET,2022-09-05 17:33:00
216,Saint-Philippe,-21.3585,55.7679,71.19,83,47,14.67,RE,2022-09-05 17:33:00
217,Saskylakh,71.9167,114.0833,41.81,68,98,14.38,RU,2022-09-05 17:33:00
218,Kununurra,-15.7667,128.7333,67.98,60,100,4.61,AU,2022-09-05 17:33:00
219,Lookan,5.037,120.1027,78.69,82,100,6.91,PH,2022-09-05 17:33:01
220,Puerto Ayacucho,5.6639,-67.6236,81.1,81,99,3.42,VE,2022-09-05 17:33:01
221,Bairiki,1.3292,172.9752,78.8,89,20,11.5,KI,2022-09-05 17:33:01
222,Katherine,-14.4667,132.2667,70.12,40,4,4.61,AU,2022-09-05 17:33:02
223,Machiques,10.0644,-72.545,85.71,67,100,3.27,VE,2022-09-05 17:33:02
224,Hami,42.8,93.45,78.3,14,0,8.21,CN,2022-09-05 17:33:02
225,Lieksa,63.3167,30.0167,48.83,75,100,8.75,FI,2022-09-05 17:33:03
226,Vestmanna,62.1564,-7.1664,56.32,88,75,26.46,FO,2022-09-05 17:33:03
227,Khairpur Nathan Shah,27.0936,67.7337,89.94,53,0,3.15,PK,2022-09-05 17:34:03
228,San Patricio,28.017,-97.5169,82.18,83,100,1.45,US,2022-09-05 17:34:04
229,Bonavista,48.6499,-53.1147,65.25,80,94,7.34,CA,2022-09-05 17:34:04
230,Ibra,22.6906,58.5334,87.71,37,8,8.9,OM,2022-09-05 17:34:04
231,Envira,-7.3,-70.2167,96.31,19,17,5.08,BR,2022-09-05 17:34:04
232,Yulara,-25.2406,130.9889,62.96,33,78,14.63,AU,2022-09-05 17:34:05
233,Victoria,22.2855,114.1577,89.19,64,22,6.33,HK,2022-09-05 17:30:09
234,Paka,4.6374,103.4368,78.73,94,100,0.0,MY,2022-09-05 17:34:05
235,Kaitangata,-46.2817,169.8464,32.56,90,77,9.15,NZ,2022-09-05 17:34:05
236,Bundaberg,-24.85,152.35,56.21,94,61,1.99,AU,2022-09-05 17:34:06
237,Salaga,8.5508,-0.5188,78.06,86,55,4.36,GH,2022-09-05 17:34:06
238,Tan An,10.5333,106.4167,80.62,95,100,3.74,VN,2022-09-05 17:34:06
239,Robertsport,6.7533,-11.3686,79.23,81,58,10.27,LR,2022-09-05 17:34:07
240,Cayenne,4.9333,-52.3333,89.64,62,40,14.97,GF,2022-09-05 17:34:07
241,Port Hedland,-20.3167,118.5667,66.25,82,0,10.36,AU,2022-09-05 17:34:07
242,Dunedin,-45.8742,170.5036,36.81,74,78,5.01,NZ,2022-09-05 17:30:09
243,Inuvik,68.3499,-133.7218,42.01,96,100,17.27,CA,2022-09-05 17:34:07
244,Mayo,38.8876,-76.5119,88.34,75,20,11.5,US,2022-09-05 17:30:35
245,Kruisfontein,-34.0033,24.7314,57.88,67,4,23.96,ZA,2022-09-05 17:34:08
246,Southwick,42.0548,-72.7704,75.45,93,100,6.91,US,2022-09-05 17:34:08
